amount,amount_balls,amount_name,amount_type,away_team_id,batting_first_team_id,bpo,floodlit,floodlit_name,ground_id,ground_latitude,ground_longitude,ground_name,home_team_id,rain_rule,rain_rule_name,team1_abbreviation,team1_id,team1_class_id,team1_object_id,team2_abbreviation,team2_id,team2_class_id,team2_object_id,tiebreaker_name,tiebreaker_type,tiebreaker_team_id,toss_winner_team_id,winner_team_id,ground_object_id,period,balls_faced,batted,batting_position,dismissal,dismissal_card,ducks,fielder_keeper,fielder_sub,fifty_plus,fours,hundreds,innings,innings_number,minutes,notouts,outs,retired_description,runs,sixes,strike_rate,style_type,description,short_description,date_of_birth,position
6,2,wickets,3,5143,5143,0,2,day/night match,292,22.564608,88.343315,"Eden Gardens, Kolkata",4341,0,,KKR,4341,6,335971,SRH,5143,6,628333,,0,0,4341,4341,57980,1,53,1,1,1,c,0,0,0,1,9,0,1,1,0,0,1,0,85,3,160.37,bowling,Legbreak,Lb,10/27/1986,OBT
6,2,wickets,3,5143,5143,0,2,day/night match,292,22.564608,88.343315,"Eden Gardens, Kolkata",4341,0,,KKR,4341,6,335971,SRH,5143,6,628333,,0,0,4341,4341,57980,1,53,1,1,1,c,0,0,0,1,9,0,1,1,0,0,1,0,85,3,160.37,batting,Left-hand bat,Lhb,10/27/1986,OBT
6,2,wickets,3,5143,5143,0,2,day/night match,292,22.564608,88.343315,"Eden Gardens, Kolkata",4341,0,,KKR,4341,6,335971,SRH,5143,6,628333,,0,0,4341,4341,57980,1,35,1,2,2,0,0,0,0,0,3,0,1,1,0,0,1,0,39,1,111.42,bowling,Right-arm medium,Rm,9/26/1989,WBT
6,2,wickets,3,5143,5143,0,2,day/night match,292,22.564608,88.343315,"Eden Gardens, Kolkata",4341,0,,KKR,4341,6,335971,SRH,5143,6,628333,,0,0,4341,4341,57980,1,35,1,2,2,0,0,0,0,0,3,0,1,1,0,0,1,0,39,1,111.42,batting,Right-hand bat,Rhb,9/26/1989,WBT
6,2,wickets,3,5143,5143,0,2,day/night match,292,22.564608,88.343315,"Eden Gardens, Kolkata",4341,0,,KKR,4341,6,335971,SRH,5143,6,628333,,0,0,4341,4341,57980,1,4,1,4,2,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,25,bowling,Right-arm offbreak,Ob,11/17/1982,AR
6,2,wickets,3,5143,5143,0,2,day/night match,292,22.564608,88.343315,"Eden Gardens, Kolkata",4341,0,,KKR,4341,6,335971,SRH,5143,6,628333,,0,0,4341,4341,57980,1,4,1,4,2,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,25,batting,Right-hand bat,Rhb,11/17/1982,AR
6,2,wickets,3,5143,5143,0,2,day/night match,292,22.564608,88.343315,"Eden Gardens, Kolkata",4341,0,,KKR,4341,6,335971,SRH,5143,6,628333,,0,0,4341,4341,57980,1,5,1,5,12,not out,0,0,0,0,1,0,1,1,0,1,0,0,8,0,160,bowling,Right-arm medium,Rm,09-10-1989,TBT
6,2,wickets,3,5143,5143,0,2,day/night match,292,22.564608,88.343315,"Eden Gardens, Kolkata",4341,0,,KKR,4341,6,335971,SRH,5143,6,628333,,0,0,4341,4341,57980,1,5,1,5,12,not out,0,0,0,0,1,0,1,1,0,1,0,0,8,0,160,batting,Right-hand bat,Rhb,09-10-1989,TBT
6,2,wickets,3,5143,5143,0,2,day/night match,292,22.564608,88.343315,"Eden Gardens, Kolkata",4341,0,,KKR,4341,6,335971,SRH,5143,6,628333,,0,0,4341,4341,57980,1,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,bowling,Slow left-arm orthodox,Sla,3/24/1987,AR
6,2,wickets,3,5143,5143,0,2,day/night match,292,22.564608,88.343315,"Eden Gardens, Kolkata",4341,0,,KKR,4341,6,335971,SRH,5143,6,628333,,0,0,4341,4341,57980,1,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,batting,Left-hand bat,Lhb,3/24/1987,AR
